track_id,Stressed,Angry,Happy,Sad,Inspired,Excited,Nervous
0 - ROSÉ & Bruno Mars - APT. (Official Lyric Video),-0.46625690685787063,-0.46625690685787063,-0.3936703370685986,-0.5312345717882927,0.03288849250214183,0.6272703954700077,-0.3608828434460234
10 - Bhad Bhabie - Ms. Whitman (Official Music Video),0.7667470128928288,0.7667470128928288,0.22936727505158683,-0.1272894800999512,0.08628242471842121,-0.31002380026659604,0.5916886946368987
1000 - Cigarette Daydreams - Cage the Elephant,-0.29843140701681503,-0.29843140701681503,-0.01704831071759383,0.383885177704091,0.002076967060831894,0.008713231080324513,-0.5074845271094238
"1001 - FloyyMenor, Cris MJ - Gata Only",0.04653431697261883,0.04653431697261883,0.6769902006209023,0.4557437800792407,-0.4233620990280981,-0.8337667283870526,-0.13205849871018335
1006 - Chappell Roan - Casual (Official Audio),-0.16410026026537727,-0.16410026026537727,-0.6971611789236957,0.12354128517487624,0.3107342485352274,0.696056626566282,-0.1507466065982191
1008 - TV Girl - Cigarettes out the Window (Lyrics),-0.43523156810645697,-0.43523156810645697,0.7736089344907413,-0.6069865653478119,0.16798292219143557,-0.288684526331349,-0.3050485737903164
1010 - Coldplay - Yellow,-0.26039368423376297,-0.26039368423376297,-0.07207029328940169,-0.13078488755688744,0.747781167864451,0.41301867884780635,-0.3321606268677065
1011 - The Chain (2004 Remaster),0.1804777769540402,0.1804777769540402,-0.5272108752875205,-0.06292766232383992,0.08674090633578434,0.42117571551333743,0.4717282790810489
"1013 - ¥$, Ye, Ty Dolla $ign - CARNIVAL ft. Playboi Carti & Rich The Kid",-0.37676182782342194,-0.37676182782342194,-0.30671013056389934,-0.528244448182312,-0.0631525630236274,0.5197079375179601,-0.42415176951143774
1016 - Morgan Wallen - Chasin' You (Audio Only),0.19280489224101283,0.19280489224101283,0.37066016300573956,0.5498046456504331,-0.10927466814381534,-0.5359163603773884,-0.024366021091743212
1018 - Coldplay - Viva la Vida (Audio),0.2036815178389375,0.2036815178389375,-0.7288387380800494,0.3640672289277109,-0.2859876199809694,0.40014669650170365,-0.0843934387513571
1019 - Les,-0.31019750615471436,-0.31019750615471436,0.6540642329602541,-0.2696170752142841,0.2598872238031815,-0.3508911101283641,-0.035128045631339894
1022 - Cazzu - Con Otra Letra,-0.33772620336909237,-0.33772620336909237,0.7965148084098016,-0.3722960813516967,0.5532452633770049,-0.2985407526505205,-0.2739575746657589
1023 - Come as You Are - Nirvana,-0.3810926240179917,-0.3810926240179917,-0.5071512734204462,-0.5170300175499921,0.7720341969692166,0.9245507937042285,-0.3465108508901638
103 - Kendrick Lamar - peekaboo (Official Audio),0.05721725626456076,0.05721725626456076,0.5910268900308893,-0.1719920294898032,-0.11087414311438022,-0.5041234480075996,0.0001305842052166887
1030 - Redbone,0.1554176036378268,0.1554176036378268,-0.706372378715796,0.5435321370806169,-0.6335852113177627,0.17255306141781868,0.24819404378788928
1031 - Calvin Harris - Summer (Audio),-0.5613862564800695,-0.5613862564800695,-0.26636801704680085,-0.6539530577074659,0.5661874373260574,0.7819571873091054,-0.6088669982633077
1034 - Last Resort,-0.34073032613204524,-0.34073032613204524,-0.24337403562535986,-0.5472237136053679,0.8999212919923667,0.7339813514919141,-0.2708999790549806
1036 - System of a Down - Chop Suey (Remastered 2021),-0.28921572463098566,-0.28921572463098566,-0.4537747865416996,-0.6064428462197792,0.7709958297727089,0.8739039335031109,-0.17932622532363918
1041 - Malcolm Todd - Chest Pain (I Love) (Official Visualizer),-0.35504119910216203,-0.35504119910216203,-0.7353906486273615,0.035672178986833225,-0.04590533592416003,0.7021295251966978,-0.42738260076015994
1059 - Could You Be Loved (1991) - Bob Marley & The Wailers,-0.28332198402537306,-0.28332198402537306,0.8390004074292231,-0.4182644218032625,-0.0073219721357014045,-0.4953031563149073,-0.17975069562282106
"106 - Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",-0.36294165790891836,-0.36294165790891836,-0.010028432967767984,-0.44629710904326547,0.8184482754838006,0.4915748791489036,-0.18367261646976368
1063 - Can't Tell Me Nothing,-0.281987678726403,-0.281987678726403,0.40945835309886547,-0.3255988734018536,0.754836300598737,0.06271706598675596,-0.2978426693466917
1066 - Can't Hold Us - Macklemore & Ryan Lewis (feat. Ray Dalton),-0.5258863540956011,-0.5258863540956011,-0.11223858759737654,-0.7960348635812111,0.24721460041918075,0.556237959641152,-0.43156878759035855
1068 - One Republic - Counting Stars,-0.5341912497028177,-0.5341912497028177,0.10260936514709057,-0.5033937619563401,0.21809388825931947,0.318819417682881,-0.6408645942990753
1071 - Lana Del Rey - Cinnamon Girl,0.11743430318072935,0.11743430318072935,0.2725606638284118,0.3898884231081886,0.21147221844312042,-0.3008977152907745,-0.05860107933494005
1078 - Snow Patrol - Chasing Cars (Album Version),0.34816128346969377,0.34816128346969377,-0.23919562456209867,0.15367911358354086,0.4569794916072769,0.22035090991018003,0.3160881033489187
"1083 - Neton Vega, Tito Double P - Chiquita (Lyric Video)",-0.38236828208548457,-0.38236828208548457,0.17575747645109058,-0.13042335083998433,-0.41972189000094695,-0.10758875933499604,-0.5041307622579257
109 - Zerb & The Chainsmokers - Addicted ft. Ink (Official Video),-0.39869600903336666,-0.39869600903336666,0.6151426224639371,-0.5592610906739871,-0.07177967319422054,-0.24759646409452968,-0.43295450071225794
1092 - Comfortably Numb,0.6269798039394031,0.6269798039394031,-0.36197676589662864,0.8510149067336491,-0.5056055450693329,-0.25783871479403664,0.4167446272681144
